id,datetime,url,label,summary,cause,effect,sentiment,coins_mentioned
0,2022-10-14,https://cryptonews.com/news/mit-research-scientist-says-satoshi-nakamoto-should-win-nobel-peace-prize.htm,1,"MIT Research Scientist Lex Fridman and other Bitcoin supporters argue that Satoshi Nakamoto, Bitcoin's creator, should receive the Nobel Memorial Prize in Economic Sciences. This argument emerged after the 2022 Nobel Prize in Economic Sciences was awarded to three American economists for their work on bank runs. The crypto community believes Nakamoto deserves recognition for creating a monetary system that provides economic freedom, though anonymous recipients cannot receive Nobel Prizes.","Discussion sparked by the 2022 Nobel Prize in Economic Sciences being awarded to Ben Bernanke, Douglas Diamond, and Philip Dybvig for their work on bank runs, leading crypto supporters to argue Satoshi Nakamoto was more deserving","No specific price movements mentioned, but the discussion generates positive sentiment around Bitcoin's significance and Satoshi Nakamoto's contribution to monetary systems",bullish,BTC
1,2022-10-14,https://cryptonews.com/news/bitcoin-price-prediction-as-btc-jumps-75-reversing-losses-more-gains-come.htm,1,Error processing article,Unknown,Unknown,neutral,
2,2022-10-14,https://cryptonews.com/news/spanish-exchange-bit2me-launches-api-for-crypto-keen-banks.htm,1,"Spanish crypto exchange Bit2Me has launched an API service that allows banks and financial institutions to offer cryptocurrency trading and custody services to their clients without building their own exchange infrastructure. The API is specifically designed for regulated entities including traditional banks, neobanks, and fintech companies. Bit2Me received a $30 million investment from Spanish telecom giant Telefónica last month, making it one of the exchange's biggest shareholders.",Launch of new API service for banks and financial institutions to integrate crypto services,"No specific price movements mentioned, potential expansion of crypto adoption through traditional banking channels",bullish,
3,2022-10-14,https://cryptonews.com/news/bitcoin-price-and-ethereum-why-could-btc-go-after-20500.htm,1,"The cryptocurrency market experienced a significant rally on October 14, 2022, with total market cap rising 2.79% to $944.24 billion despite stronger-than-expected US CPI inflation data. Bitcoin rebounded 3.79% from triple bottom support at $18,248 to trade at $19,807, while Ethereum gained 3.28% to trade above the psychological $1,300 level. Top performers included Ethereum Name Service (+17%), TerraClassicUSD (+12.42%), and Lido DAO (+12.84%). The market showed resilience by trading risk-on despite hawkish Fed policy expectations, with technical indicators suggesting potential bullish continuation.","US CPI inflation data came in higher than expected, but the market appeared to be 'buying the fact' after 'selling the rumor', combined with USD weakness and Bitcoin finding strong support at the $18,248 triple bottom level","Total crypto market cap increased 2.79% to $944.24B, Bitcoin gained 3.79% to $19,807.93, Ethereum rose 3.28% above $1,300, ENS surged 17% to $19.87, USTC jumped 12.42% to $0.0509, LDO increased 12.84% to $1.37, while Convex Finance fell 4.38% to $5.49",bullish,"BTC,ETH,ENS,USTC,LDO,CVX,TAMA,IMPT"
4,2022-10-14,https://cryptonews.com/news/south-koreas-biggest-crypto-exchanges-pen-crypto-crime-fighting-deal-with-police.htm,1,"The five major cryptocurrency exchanges in South Korea (Upbit, Bithumb, Korbit, Coinone, and Gopax) have signed an MOU with police to combat crypto-related crimes including money laundering and investment scams. Police noted rising crypto adoption among South Koreans is leading to increased opportunistic crimes. The cooperation involves sharing information and establishing hotlines between exchanges and law enforcement. This regulatory collaboration comes as the domestic crypto market continues to grow despite recent bear market conditions.","Rising crypto adoption in South Korea leading to increased crypto-related crimes and scams, prompting regulatory cooperation between exchanges and police","No specific price movements mentioned, but indicates increased regulatory oversight and potential investor protection measures in South Korean crypto markets",neutral,
5,2022-10-15,https://cryptonews.com/news/bitcoin-price-prediction-btc-about-surge-20.htm,1,Error processing article,Unknown,Unknown,neutral,
6,2022-10-15,https://cryptonews.com/news/bitcoin-price-ethereum-hold-crucial-support-huobi-gains-75-week.htm,1,"The cryptocurrency market experienced a bearish day with Bitcoin trading near $19,189 after rejection at resistance and Ethereum dropping over 2% to $1,298. Global crypto market cap fell 1.9% to $919 billion amid concerns about Fed rate hikes following stronger economic data. However, Huobi Token surged 75% in a week following Justin Sun's appointment as advisor and About Capital's acquisition of the platform.","Fed rate hike sentiment strengthened due to better-than-expected economic data including consumer sentiment improvements, driving cryptocurrency market down. Huobi Token surge attributed to Justin Sun's appointment as advisor and About Capital acquisition.","Global crypto market cap declined 1.9% to $919 billion, Bitcoin dropped 3% to $19,191, Ethereum fell 2% to $1,298, market volume decreased 23.4% to $64 billion. Huobi Token gained 75% in a week to $7.5, Terra LUNA up 3% to $2.8, TRON up 3.5% to $0.063.",mixed,"BTC,ETH,HT,LUNA,TRX,LEO,USTC,SNX,IMPT"
7,2022-10-17,https://cryptonews.com/news/bitcoin-price-forecast-bitcoin-bottomed-out.htm,0,"Bitcoin recovered slightly over 1% during the US session to trade at $19,544, opening at $19,266. The cryptocurrency faced technical challenges with mining delays and increased difficulty adjustments, while regulatory developments and whale activity provided support. Despite higher-than-expected US inflation data initially pressuring prices, Bitcoin found support near $19,000 and crossed above the 50-day moving average. The overall outlook remains cautiously optimistic with potential upside to $19,860-$20,450 if key resistance levels are broken.","Multiple factors including Bitcoin mining delays taking 85 minutes between blocks, increased mining difficulty to 35.6 trillion, proposed CFTC regulatory framework, higher-than-expected September CPI data at 8.2%, whale long positions on Binance and Bitmex, and positive comments from Michael Saylor about Bitcoin's monetary system design.","Bitcoin recovered 1% during US session from opening price of $19,266 to $19,544, fluctuated between $19,444 and $19,168, gained over 1% in 24 hours and around 3% over 7 days, crossed above 50-day moving average indicating bullish trend, with support at $19,000 level and resistance near $19,860.",mixed,"BTC,IMPT"
8,2022-10-17,https://cryptonews.com/news/bitcoin-price-prediction-is-btc-about-to-breakout-above-20000.htm,0,Error processing article,Unknown,Unknown,neutral,
9,2022-10-17,https://cryptonews.com/news/south-korean-prosecutors-say-they-wan-to-but-new-crypto-tracking-tools.htm,0,"South Korean prosecutors announced plans to purchase cryptocurrency tracking tools to investigate money laundering, crypto-powered drug deals, and kimchi premium trading. They are currently investigating approximately $7 billion in suspected illegal crypto-linked foreign exchange transactions. The tools will enable real-time monitoring of Bitcoin transactions and extraction of correlation data across multiple transactions. Prosecutors are targeting illegal kimchi premium traders who allegedly bought low-price BTC from overseas and sold it domestically for 30%+ gains. The number of domestic drug offenders using crypto assets increased over 8 times from 2018 to at least 696 cases by August 2022.",South Korean prosecutors implementing advanced cryptocurrency tracking tools to investigate $7 billion in suspected illegal crypto transactions and crack down on kimchi premium trading and drug-related crypto activities,"No specific price movements mentioned, but increased regulatory scrutiny and enforcement actions against illegal crypto trading activities in South Korea",bearish,BTC
10,2022-10-17,https://cryptonews.com/news/new-york-man-faces-25-years-prison-for-bitcoin-money-laundering-narcotics-scheme.htm,0,"A New York man named Mustafa Goklu was convicted of money laundering and operating an unlicensed money transmitting business involving Bitcoin from illegal drug trafficking. He faces 25 years in prison after a four-day trial in Brooklyn. Goklu was caught through an undercover operation where agents posed as bitcoin sellers on LocalBitcoins.com, indicating their bitcoin came from drug trafficking. The conviction followed seven meetings over nine months before his arrest in April 2019.",Legal enforcement action and conviction of individual for Bitcoin money laundering related to drug trafficking,No specific price movements or market effects mentioned in the article,bearish,BTC
11,2022-10-17,https://cryptonews.com/news/japanese-crypto-exchanges-targeted-by-north-korean-hackers.htm,0,"Japanese authorities have issued a public alert identifying the North Korean hacker group Lazarus as responsible for targeting Japanese cryptocurrency companies over several years. The investigation revealed that Lazarus used phishing emails and social media to infect company computers with malware, successfully stealing cryptocurrencies from some firms. This follows previous major attacks including the Ronin Bridge hack and thefts from Japanese exchanges Zaif and Bitpoint Japan totaling over $68 million. Japan is using 'public attribution' as a deterrent strategy by publicly naming the attackers before making arrests.",North Korean Lazarus hacker group targeting Japanese cryptocurrency companies with successful thefts and ongoing security threats to the crypto industry,"No specific price movements mentioned, but increased security concerns and regulatory attention on cryptocurrency exchanges and DeFi protocols, with historical losses of $45 million from Zaif exchange and $23.54 million from Bitpoint Japan",bearish,"ETH,BTC,XRP"
